Label,ICICI %,HDFC %,Daily Mean,Daily Volatility,Annual Mean,Annual Volatility,VaR_param(99%),CVaR_param(99%),VaR_hist(99%),CVaR_hist(99%)
Equal Weights,50.0,50.0,0.0007760534092880614,0.014736646204104144,0.19556545914059148,0.23393700609122137,0.03350651215812164,0.03850026561409534,0.036830868152385295,0.05911979091098413
Optimal Parametric CVaR,79.0922466989612,20.9077533010388,0.0007366074742602368,0.013805245239728078,0.18562508351357968,0.2191514741554726,0.03137919543979362,0.036057328454024276,0.035515458947468825,0.0555385484916107
Optimal Historical CVaR,83.89450732862171,16.1054926713783,0.0007300961290642322,0.01382859171511125,0.18398422452418653,0.21952208796259515,0.031440018808363605,0.03612606315740647,0.03507264757651565,0.05535096517475055
